,url,match-id,date,event,team1,team1score,team1-id,team2,team2-id,team2score,match_type,match_stage,player0_id,player0_rating,player0_kast,player0_adr,player1_id,player1_rating,player1_kast,player1_adr,player2_id,player2_rating,player2_kast,player2_adr,player3_id,player3_rating,player3_kast,player3_adr,player4_id,player4_rating,player4_kast,player4_adr,player5_id,player5_rating,player5_kast,player5_adr,player6_id,player6_rating,player6_kast,player6_adr,player7_id,player7_rating,player7_kast,player7_adr,player8_id,player8_rating,player8_kast,player8_adr,player9_id,player9_rating,player9_kast,player9_adr,team1_Ranking,team2_Ranking
0,https://hltv.org/matches/2367848/mouz-vs-faze-cs-asia-championships-2023,2367848,2023-11-11,,MOUZ,0,4494,FaZe,6667,2,Best of 3 (LAN),* Grand final,18850,1.33,73.3%,87.7,20312,0.99,70.0%,72.6,16820,0.97,68.3%,68.8,9960,0.96,70.0%,71.1,18072,0.78,63.3%,46.9,18850,1.31,85.2%,88.9,20312,1.18,74.1%,92.9,16820,1.09,74.1%,72.1,9960,1.06,77.8%,84.6,18072,0.83,63.0%,54.5,2,1
1,https://hltv.org/matches/2367847/faze-vs-ence-cs-asia-championships-2023,2367847,2023-11-11,,FaZe,2,6667,ENCE,4869,1,Best of 3 (LAN),* Semi-final,11816,1.17,73.3%,83.6,8183,1.12,72.0%,82.9,10394,1.00,73.3%,68.5,429,0.94,70.7%,68.8,18053,0.75,61.3%,56.3,8183,1.19,75.0%,91.7,11816,1.11,75.0%,81.5,429,0.86,69.4%,73.1,10394,0.81,66.7%,64.9,18053,0.80,58.3%,65.8,1,4
2,https://hltv.org/matches/2367846/astralis-vs-mouz-cs-asia-championships-2023,2367846,2023-11-11,,Astralis,1,6665,MOUZ,4494,2,Best of 3 (LAN),* Semi-final,7592,1.31,72.9%,85.5,15165,1.12,76.3%,76.8,20304,1.07,72.9%,67.5,9896,1.05,69.5%,69.3,20941,0.96,76.3%,63.9,15165,1.28,77.1%,94.2,7592,1.21,71.4%,86.6,20304,1.12,77.1%,79.8,9896,0.93,71.4%,67.5,20941,0.73,68.6%,50.1,12,2
3,https://hltv.org/matches/2367845/ence-vs-ninjas-in-pyjamas-cs-asia-championships-2023,2367845,2023-11-10,,ENCE,2,4869,Ninjas in Pyjamas,4411,1,Best of 3 (LAN),* Quarter-final,9436,1.34,78.7%,91.7,20813,1.12,77.0%,72.8,11777,1.11,75.4%,77.1,922,1.10,70.5%,79.4,19164,0.85,65.6%,54.5,9436,1.21,78.6%,88.6,922,1.21,78.6%,91.3,11777,1.06,71.4%,76.7,20813,0.97,78.6%,68.0,19164,0.93,67.9%,65.5,4,27
4,https://hltv.org/matches/2367844/lynn-vision-vs-mouz-cs-asia-championships-2023,2367844,2023-11-10,,Lynn Vision,0,8840,MOUZ,4494,2,Best of 3 (LAN),* Quarter-final,20254,0.89,69.4%,70.6,16551,0.85,69.4%,60.0,18744,0.76,63.9%,67.8,20702,0.67,61.1%,52.1,22922,0.60,55.6%,47.7,20254,0.89,81.2%,71.8,16551,0.82,68.8%,77.2,18744,0.74,68.8%,72.6,20702,0.69,68.8%,58.0,22922,0.60,50.0%,53.6,29,2
5,https://hltv.org/matches/2367843/wings-up-vs-ninjas-in-pyjamas-cs-asia-championships-2023,2367843,2023-11-08,,Wings Up,0,10851,Ninjas in Pyjamas,4411,2,Best of 3 (LAN),"* Group B lower bracket final. Winner advances to playoff quarter-finals, losing team is eliminated.",19681,1.13,65.8%,84.6,16768,0.86,52.6%,71.4,16872,0.66,65.8%,50.1,10722,0.60,65.8%,52.2,8598,0.53,57.9%,44.9,19681,1.14,63.2%,92.1,16872,0.79,73.7%,56.9,16768,0.62,52.6%,69.5,10722,0.56,68.4%,52.5,8598,0.46,63.2%,39.3,118,27
6,https://hltv.org/matches/2367842/mouz-vs-faze-cs-asia-championships-2023,2367842,2023-11-08,,MOUZ,1,4494,FaZe,6667,2,Best of 3 (LAN),"* Group B upper bracket final. Winner advances to playoff semi-finals, losing team proceeds to quarter-finals.",20312,1.15,68.2%,82.3,16820,1.04,71.2%,69.2,9960,1.04,78.8%,75.7,18072,0.98,71.2%,71.3,18850,0.92,69.7%,62.9,9960,1.12,78.8%,93.7,18850,1.12,81.8%,77.6,20312,1.11,69.7%,83.5,18072,0.92,69.7%,68.6,16820,0.79,66.7%,62.8,2,1
7,https://hltv.org/matches/2367839/faze-vs-ninjas-in-pyjamas-cs-asia-championships-2023,2367839,2023-11-08,,FaZe,28,6667,Ninjas in Pyjamas,4411,25,Best of 1 (LAN),* Group B upper bracket semi-final,18053,1.12,69.8%,71.9,10394,1.08,73.6%,76.7,11816,1.04,67.9%,63.2,8183,0.95,67.9%,74.1,429,0.80,62.3%,66.0,18053,1.18,70.4%,75.4,8183,0.98,66.7%,87.1,10394,0.96,63.0%,72.7,429,0.93,70.4%,83.5,11816,0.82,66.7%,63.1,1,27
8,https://hltv.org/matches/2367838/mouz-vs-wings-up-cs-asia-championships-2023,2367838,2023-11-08,,MOUZ,13,4494,Wings Up,10851,2,Best of 1 (LAN),* Group B upper bracket semi-final,18072,2.45,93.3%,124.3,9960,1.75,93.3%,105.0,18850,1.40,80.0%,87.5,20312,1.19,80.0%,62.7,16820,1.07,80.0%,58.7,18072,3.53,100.0%,191.7,9960,2.05,100.0%,136.0,18850,1.21,100.0%,78.7,16820,0.79,100.0%,64.7,20312,0.73,100.0%,24.3,2,118
9,https://hltv.org/matches/2367841/tyloo-vs-lynn-vision-cs-asia-championships-2023,2367841,2023-11-07,,TYLOO,1,4863,Lynn Vision,8840,2,Best of 3 (LAN),"* Group A lower bracket final. Winner advances to playoff quarter-finals, losing team is eliminated.",19645,1.11,69.0%,79.6,8950,1.07,74.6%,63.8,21621,1.06,76.1%,63.7,20895,1.04,69.0%,78.6,8600,0.81,66.2%,55.6,8950,1.29,85.7%,78.0,21621,1.27,91.4%,74.6,20895,1.20,77.1%,90.0,19645,0.99,77.1%,61.7,8600,0.98,65.7%,74.0,22,29
